City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
94,Havelock,US,85.98,few clouds,34.8791,-76.9013,Sherwood Motel
95,Portland,US,79.61,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
96,Quepos,CR,79.34,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
98,Azare,NG,79.66,broken clouds,11.6765,10.1948,Mallam Ayuba Compound
102,Kerema,PG,77.04,broken clouds,-7.9631,145.7785,Frena Lodge
105,Cape Canaveral,US,84.27,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
111,Nata,PA,83.07,scattered clouds,8.3333,-80.5167,Rey David
122,Batticaloa,LK,79.11,clear sky,7.7102,81.6924,Grand Star Guest House
123,Les Cayes,HT,86.29,overcast clouds,18.2,-73.75,Villa Orphee
125,Nagua,DO,87.85,scattered clouds,19.3832,-69.8474,Hotel Cambri
132,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
136,Isangel,VU,77.05,clear sky,-19.55,169.2667,Tanna Lodge
142,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
149,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
150,Cravo Norte,CO,84.07,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
155,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
170,Colon,PA,84.11,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
176,Bosaso,SO,88.72,scattered clouds,11.2842,49.1816,Red Sea Hotel
179,Roma,US,77.38,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
180,Naze,JP,76.64,light rain,28.3667,129.4833,Shishime Hotel
181,Jalu,LY,88.07,clear sky,29.0331,21.5482,صاحبة الفخامة
187,Idil,TR,78.73,broken clouds,37.3411,41.8895,İdil Öğretmen Evi Ve Aso Müdürlüğü
190,Itarema,BR,78.01,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
194,Vila Franca Do Campo,PT,78.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
197,Kathu,TH,82.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
201,Samarai,PG,78.73,overcast clouds,-10.6167,150.6667,Nuli Sapi
210,Nyaunglebin,MM,75.06,overcast clouds,17.95,96.7333,Thi ha
214,Male,MV,80.55,few clouds,4.1748,73.5089,Hotel Octave Maldives
221,Tual,ID,82.22,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
222,Cockburn Town,TC,83.34,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
223,Fort Abbas,PK,88.5,clear sky,29.1925,72.8536,AsAd's House
228,Umm Lajj,SA,81.68,clear sky,25.0213,37.2685,Moon light Furnished Units
230,Acarau,BR,78.33,few clouds,-2.8856,-40.12,castelo pizzaria
233,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
238,Broome,US,79.02,scattered clouds,42.2506,-75.833,Chenango Valley State Park
239,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
243,Saint George,US,89.26,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
244,Hobyo,SO,76.69,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
253,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
254,Hambantota,LK,79.0,few clouds,6.1241,81.1185,Bungalow 63
261,Nargana,PA,81.12,overcast clouds,9.4428,-78.5906,Dubbir
262,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
266,Puerto Carreno,CO,88.79,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
269,Santa Marta,CO,86.9,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
270,Ellensburg,US,75.61,clear sky,46.9965,-120.5479,"Holiday Inn Express Ellensburg, an IHG Hotel"
273,Vanimo,PG,76.62,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
275,Ewa Beach,US,87.75,few clouds,21.3156,-158.0072,Base Lodging
278,Shelburne,CA,77.13,broken clouds,44.0787,-80.2041,The Retreat at the Farm
286,Port Keats,AU,78.6,scattered clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
287,Ciudad Bolivar,VE,83.52,overcast clouds,8.1222,-63.5497,Hotel Edi
291,Wilmington Island,US,88.09,clear sky,32.0036,-80.9737,Breezeway Studio Manor LLC
293,Buraydah,SA,84.56,clear sky,26.326,43.975,Mövenpick Qassim
296,Veraval,IN,78.21,overcast clouds,20.9,70.3667,Lords Inn Somnath
297,Vega De Alatorre,MX,83.91,broken clouds,20.0333,-96.6333,Hotel D Luxe
299,Sur,OM,81.9,clear sky,22.5667,59.5289,Sur Plaza Hotel
300,Kattivakkam,IN,84.29,broken clouds,13.2167,80.3167,Euronova Freezer
301,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
302,Salinopolis,BR,80.47,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
310,Nizwa,OM,83.05,clear sky,22.9333,57.5333,Orient Apartments
311,Khorramshahr,IR,84.16,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
320,Wanning,CN,78.15,overcast clouds,18.8003,110.3967,Paradise Hotel
332,Tabou,CI,76.23,scattered clouds,4.423,-7.3528,hotêl doufoulougou
340,Pathein,MM,76.78,overcast clouds,16.7833,94.7333,Pathein Hotel
342,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
345,Puerto Escondido,MX,83.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
348,Aswan,EG,84.09,clear sky,24.0934,32.907,Nuba Nile
351,Laguna,US,79.29,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
352,Makakilo City,US,86.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
354,Buluang,PH,77.11,light rain,13.3068,123.3425,Sacueza Beach Resort
355,Sao Filipe,CV,78.82,scattered clouds,14.8961,-24.4956,Hotel Xaguate
360,San Quintin,MX,75.16,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
