City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Nikolskoye,RU,59.7035,30.7861,49.89,97,15,3.89,few clouds
158,Kawalu,ID,-7.3817,108.2082,71.87,98,98,1.95,overcast clouds
159,Lerwick,GB,60.1545,-1.1494,55.4,95,100,16.55,light rain
160,Marienburg,PL,54.0359,19.0266,50.88,80,82,5.59,light rain
161,Zhengjiatun,CN,43.5064,123.5064,56.35,62,9,21.81,clear sky
162,Rotifunk,SL,8.2333,-12.6833,73.24,97,100,4.79,light rain
163,Khatanga,RU,71.9667,102.5,22.28,78,68,17.07,broken clouds
164,Kerman,IR,30.2832,57.0788,62.46,20,0,4.61,clear sky
165,Constitucion,CL,-35.3333,-72.4167,53.29,62,37,12.28,scattered clouds
166,Fortuna,US,40.5982,-124.1573,69.93,75,100,1.99,overcast clouds
167,Mildura,AU,-34.2,142.15,57.16,100,100,5.75,overcast clouds
168,Port Alfred,ZA,-33.5906,26.891,57.18,90,82,11.65,broken clouds
169,Viedma,AR,-40.8135,-62.9967,46.11,78,100,11.34,overcast clouds
170,Colon,PA,9.3592,-79.9014,84.11,76,100,8.99,overcast clouds
171,Yellowknife,CA,62.456,-114.3525,55.56,66,100,18.99,overcast clouds
172,Komsomolskiy,UZ,40.4272,71.7189,68.72,42,44,6.91,scattered clouds
173,Port Elizabeth,ZA,-33.918,25.5701,60.31,96,53,1.01,broken clouds
174,Geraldton,AU,-28.7667,114.6,50.41,93,14,6.91,few clouds
175,Namibe,AO,-15.1961,12.1522,66.09,86,90,5.21,overcast clouds
176,Bosaso,SO,11.2842,49.1816,88.72,54,38,4.59,scattered clouds
177,Aix-Les-Bains,FR,45.6834,5.9224,54.07,78,0,8.05,clear sky
178,Port Lincoln,AU,-34.7333,135.8667,52.97,86,96,3.96,overcast clouds
179,Roma,US,43.2128,-75.4557,77.38,64,75,4.61,broken clouds
180,Naze,JP,28.3667,129.4833,76.64,84,39,12.48,light rain
181,Jalu,LY,29.0331,21.5482,88.07,17,6,12.93,clear sky
182,Abu Samrah,SY,35.3029,37.1841,71.28,66,0,12.3,clear sky
183,Angoche,MZ,-16.2325,39.9086,72.79,78,0,8.84,clear sky
184,Ketchikan,US,55.3422,-131.6461,64.87,68,0,5.75,clear sky
185,Hofn,IS,64.2539,-15.2082,51.19,80,100,3.62,overcast clouds
186,Copiapo,CL,-27.3667,-70.3333,56.89,23,0,6.29,clear sky
187,Idil,TR,37.3411,41.8895,78.73,29,75,4.61,broken clouds
188,Ngunguru,NZ,-35.6167,174.5,56.43,83,39,6.8,scattered clouds
189,Imeni Poliny Osipenko,RU,52.4201,136.4853,44.76,94,100,6.17,overcast clouds
190,Itarema,BR,-2.9248,-39.9167,78.01,81,20,17.18,few clouds
191,Perepravnaya,RU,44.3366,40.7849,57.78,98,100,3.18,overcast clouds
192,Coihaique,CL,-45.5752,-72.0662,50.61,50,40,8.05,scattered clouds
193,Kuminskiy,RU,58.6667,66.5667,49.39,79,89,5.41,overcast clouds
194,Vila Franca Do Campo,PT,37.7167,-25.4333,78.19,87,64,1.12,broken clouds
195,Yamada,JP,39.4667,141.95,56.19,78,94,5.3,overcast clouds
196,Fairbanks,US,64.8378,-147.7164,49.23,82,100,0.0,overcast clouds
197,Kathu,TH,7.9178,98.3332,82.69,83,100,13.89,overcast clouds
198,Aksarka,RU,66.5606,67.7975,38.19,73,21,19.91,few clouds
199,Jumla,NP,29.2747,82.1838,59.36,89,86,1.32,overcast clouds
200,Clyde River,CA,70.4692,-68.5914,28.63,86,75,9.22,snow
201,Samarai,PG,-10.6167,150.6667,78.73,85,100,10.42,overcast clouds
202,Dali,CN,25.7,100.1833,59.7,93,100,2.55,overcast clouds
203,Lebu,CL,-37.6167,-73.65,50.56,72,52,6.89,broken clouds
204,Leningradskiy,RU,69.3833,178.4167,36.1,91,76,21.3,broken clouds
205,Madridejos,ES,39.4682,-3.532,67.14,61,100,7.92,overcast clouds
206,Mandalgovi,MN,45.7625,106.2708,32.65,53,0,17.34,clear sky
207,Fukue,JP,32.6881,128.8419,73.2,73,97,5.84,overcast clouds
208,Huarmey,PE,-10.0681,-78.1522,65.66,74,97,12.95,overcast clouds
209,Pevek,RU,69.7008,170.3133,36.01,73,1,7.14,clear sky
210,Nyaunglebin,MM,17.95,96.7333,75.06,97,100,3.44,overcast clouds
211,Gilgit,PK,35.9221,74.3087,72.48,37,1,2.21,clear sky
212,Cherskiy,RU,68.75,161.3,38.37,58,83,5.82,broken clouds
213,Karpogory,RU,64.0019,44.4451,37.38,95,20,1.9,few clouds
214,Male,MV,4.1748,73.5089,80.55,83,20,9.22,few clouds
215,Rosario,AR,-32.9468,-60.6393,53.51,87,100,8.05,light rain
216,Ballina,AU,-28.8667,153.5667,64.44,99,100,18.7,light rain
